Comments,SCHOOL NAME,FIELD,Grande Ecole or Ecole Spécialisée,PROGRAM NAME,SPECIALISATION,INTAKE,LEVEL OF ENTRY,CITY,PRICE,LENGHT,LANGUAGE,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Paris,8840,3,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Bordeaux,8000,3,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Lille,8000,3,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Lyon,8000,3,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Paris,9400,2,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Bordeaux,9000,2,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Lille,8680,2,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Lyon,8840,2,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,,Fall,BAC+4,"Bordeaux, Lille, Lyon, Paris",11680,1,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,MBA International Art Market,,Fall,BAC+4,Paris,11680,1,French,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,MBA International Art Market,,Fall,BAC+4,Paris,11880,1,English,,,,,,,,,,,
,ICART - EDH Group,Arts Schools 🎭,Ecole Spécialisée 🧢 ,MBA Spécialisé Music Business Management ,,Fall,BAC+4,"Bordeaux, Paris",11680,1,French,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Coordination de projets de développement international et sociétal,,Fall,BAC,Lyon,9000,3,Both,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Coordinateur de projets alternatifs et solidaires ,,Fall,BAC,"Bordeaux, Paris, Rennes, Toulouse",9000,3,French,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,MSc in Management de l’Innovation Sociale,,Fall,BAC+3,Lyon,9950,2,French,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,MSc in Management de l’Innovation Sociale,,Fall,BAC+3,"Bordeaux, Paris, Rennes, Toulouse",0,2,French,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,MSc International sustainable development ,,Fall,BAC+3,"Lyon, Paris",9950,2,English,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,MSc Coopération internationale et action humanitaire,,Fall,BAC+3,Lyon,9950,2,French,,,,,,,,,,,
No student in France,3A - FIGS Group,Business School  📈,Ecole Spécialisée 🧢 ,MSc Coopération internationale et action humanitaire,,Fall,BAC+3,"Bordeaux, Paris, Rennes, Toulouse",0,2,French,,,,,,,,,,,
,3W Academy - EDH Group,Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor développeur d'applications web,,Fall,BAC,Paris,7380,3,French,,,,,,,,,,,
,3W Academy - EDH Group,Engineering 🛠,Ecole Spécialisée 🧢 ,Cycle Mastère développeur d'applications web,,Fall,BAC+3,Paris,7430,2,French,,,,,,,,,,,
,3W Academy - EDH Group,Engineering 🛠,Ecole Spécialisée 🧢 ,Cycle Mastère développeur d'applications web,,Fall,BAC+4,Paris,7430,1,French,,,,,,,,,,,
,aivancity,Engineering 🛠,Grande Ecole 👑,Bachelor of Science IA appliquée,,Fall,BAC,Nice,9500,3,French,,,,,,,,,,,
,aivancity,Engineering 🛠,Grande Ecole 👑,Programme Intelligence Artificielle et Science des données Grande École,,"Fall, Spring",BAC,Paris,10500,5,Both,,,,,,,,,,,
