Comments,SCHOOL NAME,FIELD,Grande Ecole or Ecole Spécialisée,PROGRAM NAME,SPECIALISATION,INTAKE,LEVEL OF ENTRY,CITY,PRICE,LENGHT,LANGUAGE,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Paris,8840,3,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Bordeaux,8000,3,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Lille,8000,3,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Bachelor,,"Fall, Spring",BAC,Lyon,8000,3,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Paris,9400,2,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Bordeaux,9000,2,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Lille,8680,2,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,Ingénierie Culturelle & Management/Marché International de l'Art/MBA Ingénierie Culturelle & Management/MBA Marché International de l'Art/MBA Music & Business Management/,Fall,BAC+3,Lyon,8840,2,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,Cycle Expert,,Fall,BAC+4,"Bordeaux, Lille, Lyon, Paris",11680,1,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,MBA International Art Market,,Fall,BAC+4,Paris,11680,1,French,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,MBA International Art Market,,Fall,BAC+4,Paris,11880,1,English,,,,,,,
, ICART École du management de la culture et du marché de l’art,Arts Schools 🎭,Ecole Spécialisée 🧢 ,MBA Spécialisé Music Business Management ,,Fall,BAC+4,"Bordeaux, Paris",11680,1,French,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Coordination de projets de développement international et sociétal,,Fall,BAC,Lyon,9000,3,Both,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,Bachelor Coordinateur de projets alternatifs et solidaires ,,Fall,BAC,"Bordeaux, Paris, Rennes, Toulouse",9000,3,French,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,MSc in Management de l’Innovation Sociale,,Fall,BAC+3,Lyon,9950,2,French,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,MSc in Management de l’Innovation Sociale,,Fall,BAC+3,"Bordeaux, Paris, Rennes, Toulouse",0,2,French,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,MSc International sustainable development ,,Fall,BAC+3,"Lyon, Paris",9950,2,English,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,MSc Coopération internationale et action humanitaire,,Fall,BAC+3,Lyon,9950,2,French,,,,,,,
No student in France,3A (FIGS Group),Business School  📈,Ecole Spécialisée 🧢 ,MSc Coopération internationale et action humanitaire,,Fall,BAC+3,"Bordeaux, Paris, Rennes, Toulouse",0,2,French,,,,,,,
,3W Academy (EDH Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor développeur d'applications web,,Fall,BAC,Paris,7380,3,French,,,,,,,
,3W Academy (EDH Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Cycle Mastère développeur d'applications web,,Fall,BAC+3,Paris,7430,2,French,,,,,,,
,3W Academy (EDH Group),Engineering 🛠,Ecole Spécialisée 🧢 ,Cycle Mastère développeur d'applications web,,Fall,BAC+4,Paris,7430,1,French,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,Bachelor of Science IA appliquée,,Fall,BAC,Nice,9500,3,French,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,Programme Intelligence Artificielle et Science des données Grande École,,"Fall, Spring",BAC,Cachan,10500,5,Both,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,MSc Data Engineering & Cloud Computing,,Fall,BAC+3,Cachan,12500,2,Both,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,MSc Data Engineering & Cloud Computing,,Spring,BAC+3,Nice,12500,2,Both,,,,,,,
Available for stage alterné,AIVANCITY,Engineering 🛠,Grande Ecole 👑,MSc Artificial intelligence for Business ,,Fall,BAC+4,Cachan,0,1,French,,,,,,,
Available for stage alterné,AIVANCITY,Engineering 🛠,Grande Ecole 👑,MSc Artificial intelligence for Business ,,Spring,BAC+4,Nice,0,1,French,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,MSc Data Management,,Fall,BAC+3,Cachan,12500,2,Both,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,MSc Data Management,,Spring,BAC+3,Nice,12500,2,Both,,,,,,,
,AIVANCITY,Engineering 🛠,Grande Ecole 👑,Master in Artificial intelligence and Data science (Master Grande École) ,,Fall,BAC+3,Cachan,14900,2,Both,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,Bachelor in Business & Data ,,Fall,BAC,"Lyon, Marseille, Paris",15900,3,French,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,International BBA,,Fall,BAC,Paris,15900,3,English,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,Master in Data for Business,,Fall,BAC+3,Paris,21000,1.5,English,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,MSc Data for Business,,Fall,BAC+3,"Lyon, Paris",0,2,English,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,MSc Data for Finance,,Fall,BAC+3,Paris,0,2,English,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,MSc Data for Marketing,,Fall,BAC+3,Paris,0,2,English,,,,,,,
,Albert School,Engineering 🛠,Ecole Spécialisée 🧢 ,MSc Data for Sustainability,,Fall,BAC+3,Paris,0,2,English,,,,,,,
,Atelier Chardon Savard (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Designer de Mode,Modélisme Chaîne & Trame (Fr)/Modélisme Maille & Textile (Fr)/,Fall,BAC,Paris,11670,4,Both,,,,,,,
,Atelier Chardon Savard (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Designer de Mode,Modélisme Chaîne & Trame/Modélisme Maille & Textile/Accessoires/,Fall,BAC,Nantes,9810,4,French,,,,,,,
,Atelier Chardon Savard (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Fashion Designer ,,Fall,BAC,Paris,13420,4,English,,,,,,,
,Atelier Chardon Savard (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Responsable Communication de Mode,,Fall,BAC,Paris,11670,3,French,,,,,,,
,Atelier Chardon Savard (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Mastère Créateur de Mode,,Fall,BAC+3,Paris,13320,2,French,,,,,,,
,Atelier Chardon Savard (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Mastère Manager en Communication de Mode,,Fall,BAC+3,Paris,11520,2,French,,,,,,,
,Atelier De Sèvres (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Prépa Art,Art/Design/Photo/vidéo/Mode/Graphisme et illustration/Architecture / scénographie / espace/Arts numériques/,Fall,BAC,Paris,11190,1,French,,,,,,,
,Atelier De Sèvres (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Prépa Art Internationalele ,,Fall,BAC,Paris,12190,1,English,,,,,,,
,Atelier De Sèvres (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Prépa Animation,,Fall,BAC,Paris,11190,1,French,,,,,,,
,Atelier De Sèvres (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Prépa Animation Internationale ,,Fall,BAC,Paris,12190,1,English,,,,,,,
,Atelier De Sèvres (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Animateur 2D/3D ,,Fall,BAC,Paris,11490,3,French,,,,,,,
,Atelier De Sèvres (Galileo Group),Arts Schools 🎭,Ecole Spécialisée 🧢 ,Bachelor Concepteur en Cinéma d'Animation,,Fall,BAC,Paris,12090,3,French,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Bachelor in Management ,International development - Option import (En)/International development - Option export (En)/Développement commercial/Marketing/Finance contrôle de gestion /Entrepreneuriat/Communication et médias/E-business marketing digital/Management du sport/Stratégies commerciales et Marketing/,Fall,BAC,"La Roche-sur-Yon, Nantes, Paris",9700,3,Both,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Bachelor en Communication,,Fall,BAC,Nantes,7900,3,French,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Bachelor Management de projet en Design et Communication ,Design/Communication/,Fall,BAC,Nantes,8500,3,French,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,BBA Big Data & Management,,Fall,BAC,Nantes,16000,4,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Master in Management (Master Grande École) ,All Masters of Science are available,Fall,BAC+3,Nantes,17500,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Master in Management (Master Grande École) ,"Finance/Marketing Business Development/Audit, Expertise Comptable/Conseil/All Mastères Spécialisés® are available /",Fall,BAC+3,Nantes,17500,2,French,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Master in Management--Engineering (Master Grande École) ,All Masters of Science are available,Fall,BAC+4,"Nantes, Paris",22000,1.5,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,Master in Management--Engineering (Master Grande École) ,Finance/Audit/Développement Commercial/Conseil/,Fall,BAC+3,"Nantes, Paris",0,2,French,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Brand Strategy & Product Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Brand Strategy & Product Management,,Fall,BAC+4,"Nantes, Paris",19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Business Development & Growth Hacking ,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Business Development & Growth Hacking ,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Business Strategy & Consulting,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Business Strategy & Consulting,,Fall,BAC+4,"Nantes, Paris",19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Corporate Finance and Investment Banking ,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Corporate Finance and Investment Banking ,,Fall,BAC+4,"Nantes, Paris",19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Cultural & Arts Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Cultural & Arts Management,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Data Management in Corporate Finance,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Data Management in Corporate Finance,,Fall,BAC+4,Paris,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Data Science for Marketing,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Data Science for Marketing,,Fall,BAC+4,Paris,19400,1,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Digital Business & Data Management,,Fall,BAC+3,Nantes,13900,2,English,,,,,,,
,Audencia ,Business School  📈,Grande Ecole 👑,MSc in Digital Business & Data Management,,Fall,BAC+4,Nantes,19400,1,English,,,,,,,
